產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
41005-0016801,PCS,TG-T1000 28*28*0.25mm,長寬±0.25厚±0.025 100PCS/30000箱 全斷/加拉拔5mm(28),,,309.991,,309.991,161,0.5194,93.06,,,,,,,12,0.0387,6.94,173,0.5581,,,
41005-0017001,PCS,TG-T1000 33*33*0.25mm,長寬±0.25厚±0.025 100PCS/20000箱 全斷/加拉拔5mm(33),459,,,,,322,0.7015,15.68,511,1.1133,24.88,1197,2.6078,58.28,24,0.0523,1.17,2054,4.4749,207,446,
41005-0017201,PCS,TG-T1000 36*36*0.25mm,長寬±0.25厚±0.025 100PCS/20000箱 全斷/加拉拔5mm(36),300,,,,,242,0.8067,10.59,597,1.99,26.13,1428,4.76,62.49,18,0.06,0.79,2285,7.6167,155,334,
41005-0017301,PCS,TG-T1000 38*38*0.25mm,長寬±0.25厚±0.025 100PCS/10000箱 全斷/加拉拔5mm(38),265,,,,,322,1.2151,12.52,658,2.483,25.59,1567,5.9132,60.95,24,0.0906,0.93,2571,9.7019,176,378,
41005-0017701,PCS,TG-T1000 98*49*0.25mm,長寬±0.25厚±0.025 100PCS/5000箱 全斷/加拉拔5mm(49),84,,,,,322,3.8333,25.39,292,3.4762,23.03,630,7.5,49.68,24,0.2857,1.89,1268,15.0952,292,629,
41005-0017901,PCS,TG-T1000 53*53*0.25mm,長寬±0.25厚±0.025 100PCS/8000箱 全斷/加拉拔5mm(53),200,,,,,403,2.015,15.29,698,3.49,26.49,1504,7.52,57.08,30,0.15,1.14,2635,13.175,697,1502,
41005-0018001,PCS,TG-T1000 59*59*0.25mm,長寬±0.25厚±0.025 100PCS/8000箱 全斷/加拉拔5mm(59),200,,,,,483,2.415,22.63,512,2.56,23.99,1103,5.515,51.69,36,0.18,1.69,2134,10.67,512,1102,
41005-0018201,PCS,TG-T1000 151.5*148*0.25mm,長寬±0.35厚±0.025 100PCS/600箱 全斷/加拉拔5mm(148),96,,,,,1449,15.0938,36.66,759,7.9063,19.21,1637,17.0521,41.42,107,1.1146,2.71,3952,41.1668,758,1634,
41005-0018301,PCS,TG-T1000 10*10*0.25mm,長寬±0.25厚±0.025 100PCS/200000箱 全斷/加拉拔5mm(10),3400,,,,,322,0.0947,10.62,851,0.2503,28.08,1834,0.5394,60.51,24,0.0071,0.79,3031,0.8915,851,1833,
41005-0018601,PCS,TG-T1000 22.9*12.3*0.15mm 沖型(綠膜面) 左腳,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/LH/Z4001-0217001/量產模/3穴,4720,,,,,990,0.2097,11.84,2305,0.4883,27.56,4967,1.0523,59.39,101,0.0214,1.21,8363,1.7717,2304,4964,
41005-0018701,PCS,TG-T1000 22.9*12.3*0.15mm 沖型(綠膜面) 右腳,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/RH/Z4001-0217101/量產模/3穴,4720,,,,,990,0.2097,7.32,3940,0.8347,29.14,8492,1.7992,62.8,101,0.0214,0.75,13523,2.865,3939,8489,
41005-0019001,PCS,TG-T1000 330.4*148.8*0.25mm 沖型,長±0.55寬±0.35厚±0.025 100PCS/800箱 膜斷/Z4001-0222001/量產模/2穴,20,,,,,564,28.2,22.27,610,30.5,24.09,1316,65.8,51.97,42,2.1,1.66,2532,126.6,610,1315,
41005-0020701,PCS,TG-T1000 75*45*0.25mm 沖型,長寬±0.25厚±0.025 200PCS/5000箱 膜斷/Z4001-0226701/量產模/2穴,5000,,,,,16102,3.2204,70.11,685,0.137,2.98,1489,0.2978,6.48,4691,0.9382,20.42,22967,4.5934,655,1411,3500
41005-0021701,PCS,TG-T1000 328.9*3.8*0.15mm,長±0.40寬±0.15厚±0.020 1000PCS/40000箱 膜斷/加拉拔20mm(3.8),536,,203.795,,203.795,408,0.5515,12.77,871,1.625,27.25,1875,3.4981,58.67,42,0.0568,1.31,3196,5.7314,871,1874,
41005-0022501,PCS,TG-T1000 16*15.5*0.25mm,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/條狀/加拉拔5mm(15.5),200,,,,,162,0.81,15.82,270,1.35,26.37,580,2.9,56.64,12,0.06,1.17,1024,5.12,270,580,
41005-0023301,PCS,TG-T1000 588*4.3*0.25mm,長±0.85寬±0.25厚±0.025 1000PCS/10000箱 膜斷/離型紙反面裁切/紅膜/不可有摺痕,3010,,,,,5827,1.9359,56.64,1271,0.4223,12.36,2737,0.9093,26.61,452,0.1502,4.39,10287,3.4177,1265,2725,
41005-0024101,PCS,TG-T1000 21*14*0.25mm,長寬±0.25厚±0.025 1000PCS/80000箱 膜斷/條狀/加拉拔5mm(14),340,,,,,161,0.4735,21.64,181,0.5324,24.33,390,1.1471,52.42,12,0.0353,1.61,744,2.1883,181,390,
41005-0026801,PCS,TG-T1000 150*5*0.15mm,長±0.35寬±0.25厚±0.020 1000PCS/60000箱 膜斷/跳間隔2mm(5)/綠膜/不能有毛邊,1000,,,,,408,0.408,24.7,381,0.381,23.06,821,0.821,49.7,42,0.042,2.54,1652,1.652,381,820,
41005-0027101,PCS,TG-T1000 45.4*15.81*0.15mm 沖型(綠膜面),長寬±0.25厚±0.020 1000PCS/50000箱 膜斷/Z4001-0238701/量產模/2穴/一捲裁15600PCS,1600,,,,,,,,208,0.13,11.71,448,0.28,25.23,1120,0.7,63.06,1776,1.11,208,448,1120
41005-0029701,PCS,TG-T1000 310*6*0.25mm,長±0.55寬±0.25厚±0.025 1000PCS/10000箱 膜斷/跳間隔2mm(6),2000,,,,,3059,1.5295,49.62,913,0.4565,14.81,1967,0.9835,31.91,226,0.113,3.67,6165,3.0825,910,1960,
41005-0029801,PCS,TG-T1000 83*3.75*0.25mm,長±0.3寬±0.2厚±0.025 1000PCS/70000箱 膜斷/離型紙反面裁切/紅膜當底/不可有摺痕,2016,,,,,460,0.2282,27.59,371,0.184,22.26,800,0.3968,47.99,36,0.0179,2.16,1667,0.8269,371,799,
41005-0029901,PCS,TG-T1000 360*5*0.25mm 沖型,長±0.55寬±0.25厚±0.025 1000PCS/10000箱 膜斷/Z4001-0244301/量產模/20穴/裁47PCS,5000,,,,,6118,1.2236,58.78,1216,0.2432,11.68,2622,0.5244,25.19,452,0.0904,4.34,10408,2.0816,1211,2609,
41005-0030901,PCS,TG-T1000 310*25*0.15mm,長±0.55寬±0.25厚±0.020 1000PCS/6000箱 膜斷,15,,,,,58,3.8667,8.9,186,12.4,28.53,402,26.8,61.66,6,0.4,0.92,652,43.4667,186,402,
41005-0033301,PCS,TG-T1000 330*330*0.15mm,長寬±0.55厚±0.020 50PCS/500箱 全斷,6,,,,,291,48.5,23.91,271,45.1667,22.27,625,104.1667,51.36,30,5,2.47,1217,202.8334,131,281,
41005-0033902,PCS,TG-T1000 12*12*0.25mm,長寬±0.25厚±0.025 1000PCS/200000箱 膜斷/條狀/加拉拔3mm(12)/紅膜,7500,,,,,690,0.092,18.99,839,0.1119,23.09,2050,0.2733,56.43,54,0.0072,1.49,3633,0.4844,63,136,
41005-0035401,PCS,TG-T1000 9*9*0.25mm,長寬±0.25厚±0.025 1000PCS/300000箱 膜斷/條狀,20,,,,,,,,131,6.55,31.8,281,14.05,68.2,,,,412,20.6,131,281,
41005-0037501,PCS,TG-T1000 165*2.3*0.15mm,長±0.35寬±0.25厚±0.020 1000PCS/70000箱 膜斷/加拉拔5mm(2.3),1504,,,,,466,0.3098,16.29,694,0.4614,24.27,1652,1.0984,57.76,48,0.0319,1.68,2860,1.9015,195,420,
41005-0042401,PCS,TG-T1000 263*1.8*0.15mm,長±0.45寬±0.25厚±0.020 1000PCS/80000箱 膜斷/加拉拔5mm(1.8),1003,,,,,233,0.2323,12.28,485,0.4835,25.55,1156,1.1525,60.91,24,0.0239,1.26,1898,1.8922,131,283,
41005-0044001,PCS,TG-T1000 40*40*0.15mm,長寬±0.25厚±0.020 1000PCS/20000箱 膜斷,800,,,,,524,0.655,34.43,279,0.3488,18.33,665,0.8313,43.69,54,0.0675,3.55,1522,1.9026,73,157,
41005-0045601,PCS,TG-T1000T 340*340*0.11mm,長寬±0.55厚±0.020 100PCS/800箱 全斷/底紙加8D離型紙,5,,,,,350,70,33.52,220,44,21.07,474,94.8,45.4,,,,1044,208.8,220,474,
41005-0047701,PCS,TG-T1000 352.5*6*0.15mm,長±0.55寬±0.25厚±0.020 1000PCS/40000箱 膜斷/加拉拔15mm(6),1793,,3672.45,3672.45,3672.45,4894,0.8954,44.95,1742,0.3187,16,3751,0.6863,34.45,500,0.0915,4.59,10887,1.9919,1736,3739,
41005-0052001,PCS,TG-T1000 13*13*0.15mm,長寬±0.25厚±0.020 1000PCS/200000箱 膜斷/條狀/加拉拔5mm(13),80,,,,,58,0.725,2.84,628,7.85,30.71,1353,16.9125,66.16,6,0.075,0.29,2045,25.5625,628,1353,
41005-0057701,PCS,TG-T1000 342.1*5*0.15mm,長±0.4寬±0.1厚±0.015 1000PCS/40000箱 膜斷/條狀/加拉拔20mm(5)/跳間隔1.5mm(5)/不可有毛絲/特殊公差,3833,,,,,3263,0.8513,20.34,3672,0.958,22.88,8778,2.2901,54.71,333,0.0869,2.08,16046,4.1863,915,1973,
41005-0059001,PCS,TG-T1000 310*310*0.25mm,長寬±0.55厚±0.025 50PCS/300箱 全斷,1,,,,,81,81,26.64,69,69,22.7,148,148,48.68,6,6,1.97,304,304,69,148,
41005-0059301,PCS,TG-T1000 310*310*0.15mm,長寬±0.55厚±0.020 50PCS/500箱 全斷,1,,,,,58,58,19.8,72,72,24.57,157,157,53.58,6,6,2.05,293,293,72,157,
41005-0059801,PCS,TG-T1000 157*1.8*0.15mm,長±0.35寬±0.25厚±0.020 1000PCS/80000箱 膜斷/加拉拔5mm(1.8),,,500.653,,500.653,58,0.1158,90.63,,,,,,,6,0.012,9.38,64,0.1278,,,
41005-0061001,PCS,TG-T1000 330*8*0.15mm,長±0.55寬±0.25厚±0.020 1000PCS/20000箱 全斷,1000,,,,,1049,1.049,29.92,744,0.744,21.22,1606,1.606,45.81,107,0.107,3.05,3506,3.506,743,1603,
41005-0062201,PCS,TG-T1000T 150*150*0.11mm,長寬±0.35厚±0.020 500PCS/3000箱 全斷/底紙加8D離型紙,3,,,,,104,34.6667,27.88,85,28.3333,22.79,184,61.3333,49.33,,,,373,124.3333,85,184,
41005-0064401,PCS,TG-T1000 12*12*0.25mm,長寬±0.25厚±0.025 1000PCS/200000箱 膜斷,1000,,,,,161,0.161,28.55,124,0.124,21.99,267,0.267,47.34,12,0.012,2.13,564,0.564,124,267,
41005-0071801,PCS,TG-T1000 18*18*0.15mm,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/條狀,1000,,,,,175,0.175,21.34,199,0.199,24.27,428,0.428,52.2,18,0.018,2.2,820,0.82,199,428,
41005-0072901,PCS,TG-T1000 42*17*0.25mm,長寬±0.25厚±0.025 1000PCS/30000箱 膜斷/加拉拔5mm(17),200,,,,,161,0.805,34.26,94,0.47,20,203,1.015,43.19,12,0.06,2.55,470,2.35,94,203,
41005-0073301,PCS,TG-T1000 215*3.5*0.25mm,長±0.45寬±0.25厚±0.025 1000PCS/20000箱 膜斷/跳間隔2mm(3.5),100,,,,,161,1.61,28.35,125,1.25,22.01,270,2.7,47.54,12,0.12,2.11,568,5.68,125,270,
41005-0075001,PCS,TG-T1000 313.5*6.8*0.25mm,長±0.55寬±0.25厚±0.025 1000PCS/20000箱 膜斷/跳間隔2mm(6.8),200,,,,,322,1.61,33.82,192,0.96,20.17,414,2.07,43.49,24,0.12,2.52,952,4.76,192,413,
41005-0075901,PCS,TG-T1000 62*48*0.15mm,長寬±0.25厚±0.020 1000PCS/10000箱 膜斷/加拉拔5mm(48),600,,,,,1049,1.7483,24.94,966,1.61,22.97,2084,3.4733,49.55,107,0.1783,2.54,4206,7.0099,965,2081,
41005-0077201,PCS,TG-T1000T 6*6*0.11mm,長寬±0.25厚±0.020 1000PCS/1000000箱 膜斷/加拉拔10mm於透明面/底紙加8D離型紙,2656,,755.664,,,295,0.0865,5.65,1563,0.5885,29.91,3367,1.2677,64.44,,,,5225,1.9427,1563,3367,
41005-0078301,PCS,TG-T1000 10*10*0.25mm 沖型,長寬±0.25厚±0.025 1000PCS/200000箱 全斷/底紙加拉拔5mm(10)/Z4001-0311301/量產模/25穴/裁400PCS,1200,,1999.945,1999.945,1999.945,483,0.1509,4.71,3084,0.9638,30.09,6645,2.0766,64.84,36,0.0113,0.35,10248,3.2026,3084,6644,
41005-0084401,PCS,TG-T1000 465*3.4*0.25mm,長±0.65寬±0.25厚±0.025 1000PCS/30000箱 膜斷,50,,,,,81,1.62,14.54,149,2.98,26.75,321,6.42,57.63,6,0.12,1.08,557,11.14,149,321,
41005-0084501,PCS,TG-T1000 356*3.4*0.25mm,長±0.55寬±0.25厚±0.025 1000PCS/30000箱 膜斷,700,,,,,483,0.69,17.8,675,0.9643,24.88,1519,2.17,55.99,36,0.0514,1.33,2713,3.8757,479,1032,
41005-0084701,SET,TG-T1000 81.6*65.8*0.15mm 沖型,長寬±0.25厚±0.020 300SET/3000箱 膜斷/1SET=L+R(1對)/Z4001-0321901/量產模/12穴/裁12SET,601,,,,,1049,1.7454,8.2,3568,5.9368,27.9,8064,13.4176,63.06,107,0.178,0.84,12788,21.2778,2374,5115,
41005-0085701,PCS,TG-T1000 14*14*0.25mm,長寬±0.25厚±0.025 1000PCS/100000箱 全斷/加拉拔5mm(14),20000,,10002.993,10002.993,10002.993,4590,0.153,19.05,6075,0.2025,25.21,13093,0.4364,54.33,339,0.0113,1.41,24097,0.8032,6072,13084,
41005-0085801,PCS,TG-T1000 380*3*0.25mm,長±0.55寬±0.25厚±0.025 1000PCS/40000箱 膜斷/加拉拔5mm(3),88,,389.795,389.795,389.795,323,0.676,35.77,176,0.3684,19.49,380,0.7953,42.08,24,0.0502,2.66,903,1.8899,176,379,
41005-0086101,PCS,TG-T1000 539.5*3.3*0.15mm,長±0.85寬±0.25厚±0.020 1000PCS/80000箱 膜斷,20,,,,,58,2.9,10.66,152,7.6,27.94,328,16.4,60.29,6,0.3,1.1,544,27.2,152,328,
41005-0086201,PCS,TG-T1000 308*4.1*0.25mm,長±0.55寬±0.25厚±0.025 1000PCS/20000箱 膜斷,100,,,,,81,0.81,7.29,311,3.11,27.99,713,7.13,64.18,6,0.06,0.54,1111,11.11,172,370,
41005-0086701,PCS,TG-T1000 474.5*3.4*0.25mm,長±0.65寬±0.25厚±0.025 1000PCS/40000箱 膜斷,420,,,,,403,0.9595,30.58,280,0.6667,21.24,605,1.4405,45.9,30,0.0714,2.28,1318,3.1381,280,604,
41005-0087601,PCS,TG-T1000 353*4*0.25mm,長±0.55寬±0.25厚±0.025 1000PCS/40000箱 膜斷,50,,100.618,,100.618,162,1.0756,35.14,91,1.82,19.74,196,3.92,42.52,12,0.0797,2.6,461,6.8953,91,196,
41005-0087701,PCS,TG-T1000 486*3.46*0.25mm,長±0.65寬±0.25厚±0.025 1000PCS/40000箱 膜斷,100,,,,,161,1.61,21.52,182,1.82,24.33,393,3.93,52.54,12,0.12,1.6,748,7.48,182,392,
41005-0088501,PCS,TG-T1000 56*56*0.25mm,長寬±0.25厚±0.025 1000PCS/8000箱 膜斷/條狀/加拉拔5mm(56),200,,,,,483,2.415,16.63,756,3.78,26.02,1630,8.15,56.11,36,0.18,1.24,2905,14.525,756,1629,
41005-0098801,PCS,TG-T1000T 20*10*0.11mm,長寬±0.25厚±0.020 1000PCS/100000箱 膜斷/條狀/加拉拔5mm(10)/底紙加8D離型紙,945,,,,,156,0.1651,6.25,741,0.7841,29.7,1598,1.691,64.05,,,,2495,2.6402,741,1598,
41005-0099601,PCS,TG-T1000 159.8*2.1*0.15mm,長±0.35寬±0.25厚±0.020 1000PCS/70000箱 膜斷,110,,,,,58,0.5273,13.49,116,1.0545,26.98,250,2.2727,58.14,6,0.0545,1.4,430,3.909,116,250,
41005-0101001,PCS,TG-T1000 332.8*9.5*0.15mm,長+0.5/-0.7寬±0.3厚±0.020 1000PCS/30000箱 膜斷/加拉拔10mm(9.5),420,,,,,524,1.2476,20.48,628,1.4952,24.55,1352,3.219,52.85,54,0.1286,2.11,2558,6.0904,627,1351,
41005-0106401,PCS,TG-T1000 296*1.4*0.15mm,長±0.45寬±0.25厚±0.020 1000PCS/100000箱 膜斷/加拉拔5mm(1.4),602,,,,,117,0.1944,7.21,473,0.7857,29.16,1020,1.6944,62.89,12,0.0199,0.74,1622,2.6944,473,1020,
41005-0107102,PCS,TG-T1000 1122*10*0.25mm,長±2寬±0.25厚±0.025 1000PCS/20000箱 全斷/加拉拔5mm(10),450,,,,,,,,588,1.3067,9.59,1268,2.8178,20.68,4275,9.5,69.73,6131,13.6245,588,1268,4275
41005-0107401,PCS,TG-T1000 12.7*12.7*0.25mm,長寬±0.25厚±0.025 1000PCS/100000箱 膜斷,650,,,,,81,0.1246,12.18,183,0.2815,27.52,395,0.6077,59.4,6,0.0092,0.9,665,1.023,183,395,
41005-0108101,PCS,TG-T1000 544.9*3.8*0.25mm,長±0.85寬±0.25厚±0.025 1000PCS/30000箱 膜斷/紅膜/白色離型紙面裁切/不可有摺痕,5040,,,,,5520,1.0952,44.93,1867,0.3704,15.2,4471,0.8871,36.39,428,0.0849,3.48,12286,2.4376,438,945,
41005-0109101,PCS,TG-T1000 31*18*0.15mm,長寬±0.25厚±0.020 1000PCS/70000箱 膜斷/條狀,40,,,,,58,1.45,24.37,55,1.375,23.11,119,2.975,50,6,0.15,2.52,238,5.95,55,119,
41005-0114201,PCS,TG-T1000 24*20*0.25mm,長寬±0.25厚±0.025 1000PCS/60000箱 膜斷/條狀,20,,,,,81,4.05,20.82,96,4.8,24.68,206,10.3,52.96,6,0.3,1.54,389,19.45,96,206,
41005-0114501,PCS,TG-T1000 76.2*36*0.15mm,長寬±0.25厚±0.020 1000PCS/7000箱 膜斷,150,,,,,175,1.1667,22.15,189,1.26,23.92,408,2.72,51.65,18,0.12,2.28,790,5.2667,189,408,
41005-0122001,PCS,TG-T1000 68.54*65.19*0.15mm 沖型,長寬±0.25厚±0.020 1000PCS/3000箱 膜斷/Z4001-0381101/量產模/4穴/裁16PCS,4760,,,,,12412,2.6076,33.96,7248,1.5227,19.83,15618,3.2811,42.74,1267,0.2662,3.47,36545,7.6776,7234,15587,
41005-0123301,PCS,TG-T1000T 300*300*0.11mm,長寬±0.45厚±0.020 100PCS/700箱 全斷/底紙加8D離型紙/指定素材,12,,,,,996,83,28.43,767,63.9167,21.9,1740,145,49.67,,,,3503,291.9167,294,635,
41005-0123401,PCS,TG-T1000 75*59*0.15mm,長寬±0.25厚±0.020 1000PCS/10000箱 膜斷,100,,,,,233,2.33,30.62,160,1.6,21.02,344,3.44,45.2,24,0.24,3.15,761,7.61,160,343,
41005-0123501,PCS,TG-T1000 245.6*18.44*0.25mm 沖型,長±0.45寬±0.25厚±0.025 500PCS/5000箱 膜斷/加拉拔5mm(18.44)/雷切/20260420-TG-0001,60,,15.093,,15.093,403,5.3667,7.84,1493,24.8833,29.04,3216,53.6,62.54,30,0.3995,0.58,5142,84.2495,1493,3216,
41005-0123601,PCS,TG-T1000 604*7*0.15mm,長±0.85寬±0.25厚±0.020 1000PCS/30000箱 膜斷/加拉拔5mm(7),,,19.907,19.907,19.907,58,2.9135,12.08,132,6.6308,27.5,284,14.2663,59.17,6,0.3014,1.25,480,24.112,132,284,
41006-0000101,PCS,PC93 10*10*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/60000箱 半斷,1000,,,,,450,0.45,56.39,110,0.11,13.78,238,0.238,29.82,,,,798,0.798,110,238,
41006-0000301,PCS,PC93 25*25*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/3000箱 半斷,66,,,,,500,7.5758,49.12,164,2.4848,16.11,354,5.3636,34.77,,,,1018,15.4242,164,354,
41006-0000401,PCS,PC93 30*30*0.5mm 不背膠,長±0.3寬±0.3厚±0.05 1000PCS/7000箱 亞化紙膜斷,18740,,,,,45240,2.4141,71.83,5625,0.3002,8.93,12119,0.6467,19.24,,,,62984,3.361,5625,12119,
41006-0000501,PCS,PC93HC 50*35*0.5mm 不背膠 沖型,長寬±0.4厚±0.05 500PCS/7500箱 Z4001-0114501/量產模/12穴,77,,,,,848,11.013,25.99,767,9.961,23.51,1648,21.4026,50.51,,,,3263,42.3766,767,1648,
41006-0000601,PCS,PC93HC 114*80*0.5mm 不背膠 沖型,長±0.8寬±0.6厚±0.05 50PCS/950箱 半斷/ZM-3-MOD-C2447/1040319-03/量產模/6穴,107,,,,,5724,53.4953,52.81,1621,15.1495,14.96,3494,32.6542,32.24,,,,10839,101.299,1621,3494,
41006-0000701,PCS,PC93HC 117*55*0.5mm 不背膠 沖型,長±0.8寬±0.5厚±0.05 100PCS/1500箱 半斷/ZM-3-MOD-C2448/1040319-04/量產模/10穴,77,,,,,2332,30.2857,37.11,1253,16.2727,19.94,2699,35.0519,42.95,,,,6284,81.6103,1253,2699,
41006-0000801,PCS,PC93HC 154*80*0.5mm 不背膠 沖型,長±1.0寬±0.6厚±0.05 50PCS/450箱 半斷/ZM-3-MOD-C2446/1040319-02/量產模6穴,30,,,,,2332,77.7333,49.16,765,25.5,16.13,1647,54.9,34.72,,,,4744,158.1333,765,1647,
41006-0001101,PCS,PC94 45*40*1.0mm 不背膠,長寬±0.4厚±0.10 500PCS/3000箱 半斷,3950,,,,,28800,7.2911,78.47,2505,0.6342,6.83,5398,1.3666,14.71,,,,36703,9.2919,2505,5398,
41006-0005401,PCS,PC93HC 66*19*4.5mm 不背膠 沖型,長±0.5寬±0.3厚±0.30 96PCS(不可多給)/480箱 半斷/條狀(每條16PCS)/正視圖為無黏著性面/無黏性面換藍色保護膜/4-MOD-2046/1070116-01/量產模/16穴/指定包裝,2940,,,,,112722,38.3408,79.8,9043,3.0759,6.4,19486,6.6279,13.8,,,,141251,48.0446,9043,19486,
41006-0006801,PCS,PC93 40*16*1.5mm 不背膠,長±0.4寬±0.3厚±0.15 1000PCS/8000箱 半斷,1000,,,,,3900,3.9,75.49,402,0.402,7.78,864,0.864,16.72,,,,5166,5.166,402,864,
41006-0009401,PCS,PC93 36*31*1.5mm 不背膠 沖型,長寬±0.4厚±0.15 1000PCS/3000箱 半斷/ZM-4-MOD-2492/量產模/16穴/1081021-03,76,,,,,900,11.8421,42.19,391,5.1447,18.33,842,11.0789,39.47,,,,2133,28.0657,391,842,
41006-0009501,PCS,PC93 30*30*1.5mm 不背膠 沖型,長寬±0.3厚±0.15 1000PCS/5000箱 半斷/ZM-4-MOD-2491/量產模/18穴/1081021-02,67,,,,,600,8.9552,46.48,219,3.2687,16.96,472,7.0448,36.56,,,,1291,19.2687,219,472,
41006-0015801,PCS,PC94 150*150*1.0mm 不背膠,長寬±0.8厚±0.10 10PCS/160箱 全斷,34,,,,,3600,105.8824,66.2,583,17.1471,10.72,1255,36.9118,23.08,,,,5438,159.9413,583,1255,
41006-0015901,PCS,PC94 150*150*2.0mm 不背膠,長寬±0.8厚±0.20 10PCS/100箱 全斷,12,,,,,1800,150,73.98,200,16.6667,8.22,433,36.0833,17.8,,,,2433,202.75,200,433,
41006-0016101,PCS,PC94 150*150*3.0mm 不背膠,長寬±0.8厚±0.25 10PCS/80箱 全斷,8,,,,,1560,195,82.06,108,13.5,5.68,233,29.125,12.26,,,,1901,237.625,108,233,
41006-0019801,PCS,PC94 103*79*0.5mm 不背膠 沖型,長±0.8寬±0.6厚±0.05 100PCS/900箱 半斷/Z4001-0072601/4-MOD-2664/1090903-01/量產模/6穴,100,,,,,2700,27,42.71,1148,11.48,18.16,2473,24.73,39.12,,,,6321,63.21,1148,2473,
41006-0022301,PCS,PC93 150*150*1.5mm 不背膠,長寬±0.8厚±0.15 20PCS/200箱 全斷,,,2,2,,600,300,87.08,28,14,4.06,61,30.5,8.85,,,,689,344.5,28,61,
41006-0024501,PCS,PC94 11*11*1.2mm 不背膠,長寬±0.3厚±0.12 1000PCS/40000箱 半斷,2780,,1000,1000,,2500,0.6614,60.59,515,0.1362,12.48,1111,0.2939,26.93,,,,4126,1.0915,515,1111,
41006-0024601,PCS,PC94 16*16*1.2mm 不背膠,長寬±0.3厚±0.12 1000PCS/20000箱 半斷,5900,,2000,2000,,10500,1.3291,71.28,1341,0.1697,9.1,2889,0.3657,19.61,,,,14730,1.8645,1341,2889,
41006-0025502,PCS,PC94 60*60*4.5mm 不背膠,長寬±0.5厚±0.30 50PCS/200箱 半斷/條狀,4266,,,,,175950,41.2447,85.4,9535,2.2351,4.63,20545,4.816,9.97,,,,206030,48.2958,9535,20545,
41006-0027201,PCS,PC93 310*310*1.0mm 不背膠,長寬±1.5厚±0.10 10PCS/80箱 全斷,42,,,,,18900,450,91.81,534,12.7143,2.59,1151,27.4048,5.59,,,,20585,490.1191,534,1151,
41006-0027601,PCS,PC94 9*6*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/100000箱 半斷,27110,,8410,8410,,7600,0.214,49.49,2460,0.0693,16.02,5297,0.1491,34.49,,,,15357,0.4324,2460,5297,
41006-0028101,PCS,PC94 8*8*3.5mm 不背膠,長寬±0.2厚±0.25 1000PCS/30000箱 半斷,3000,,4500,4500,,4400,0.5867,71.57,555,0.074,9.03,1193,0.1591,19.4,,,,6148,0.8198,555,1193,
41006-0030001,PCS,PC93 310*310*2.5mm 不背膠,長寬±1.5厚±0.25 5PCS/30箱 全斷,1,,,,,877,877,67.15,136,136,10.41,293,293,22.43,,,,1306,1306,136,293,
41006-0030301,PCS,PC94 310*310*0.5mm 不背膠,長寬±1.5厚±0.05 10PCS/100箱 全斷,2,,,,,600,300,66.23,97,48.5,10.71,209,104.5,23.07,,,,906,453,97,209,
41006-0030401,PCS,PC94 310*310*1.0mm 不背膠,長寬±1.5厚±0.10 10PCS/80箱 全斷,,,2,2,,800,400,76.85,76,38,7.3,165,82.5,15.85,,,,1041,520.5,76,165,
41006-0032401,PCS,PC93 29*10*1.5mm 單背TT600,長±0.3寬±0.2厚±0.15 1000PCS/10000箱 膜斷/加拉拔5mm(10)/不需塗普來瑪/指定素材,,,,,,32,,8.86,95,,26.32,234,,64.82,,,,361,,45,96,
41006-0034601,PCS,PC94 11*7*0.8mm 不背膠,長±0.3寬±0.2厚±0.08 1000PCS/100000箱 半斷,1000,,,,,320,0.32,35.96,181,0.181,20.34,389,0.389,43.71,,,,890,0.89,181,389,
41006-0035501,PCS,PC94 100*100*5.0mm 不背膠,長寬±0.6厚±0.35 10PCS/100箱 全斷,5,,,,,1200,240,60.79,245,49,12.41,529,105.8,26.8,,,,1974,394.8,245,529,
41006-0037001,PCS,PC94 100*100*4.0mm 不背膠,長寬±0.6厚±0.30 10PCS/100箱 全斷,9,,,,,980,108.8889,64.18,173,19.2222,11.33,374,41.5556,24.49,,,,1527,169.6667,173,374,
41006-0037601,PCS,PC94 11*7*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/100000箱 半斷/裁10*10排(100PCS/張)/數量可少,5000,,,,,1500,0.3,33.9,927,0.1854,20.95,1998,0.3996,45.15,,,,4425,0.885,927,1998,
41006-0040101,PCS,PC93 28*17*0.8mm 不背膠,長寬±0.3厚±0.08 1000PCS/10000箱 半斷,5265,,,,,10393,1.974,65.88,1707,0.3242,10.82,3676,0.6982,23.3,,,,15776,2.9964,1707,3676,
